,f_value,p_value,variance,correlation_to_target,LGBMRegressor_rfe_rank,RandomForestRegressor_rfe_rank,GradientBoostingRegressor_rfe_rank,ExtraTreesRegressor_rfe_rank,AdaBoostRegressor_rfe_rank,XGBRegressor_rfe_rank,LGBMRegressor_feature_importance,RandomForestRegressor_feature_importance,GradientBoostingRegressor_feature_importance,ExtraTreesRegressor_feature_importance,AdaBoostRegressor_feature_importance,XGBRegressor_feature_importance
1stFlrSF*LowQualFinSF,3.31936220133691,0.06867646271677702,783644.0,0.048039630540146615,229,478,184,403,58,134,0,9.838354786220303e-06,0.0,6.090268553554499e-05,0.0,0.00015591079
1stFlrSF*MasVnrArea,456.727590053322,3.359616625947231e-88,2523118.0,0.49135946327610613,126,138,153,270,42,104,5,0.0002860805862469329,1.646037406972075e-05,0.00017655881426867546,0.0,0.0020393757
1stFlrSF*OpenPorchSF,318.1799066574801,1.9426706099350577e-64,866448.0,0.4260132754132201,137,113,129,180,38,111,3,0.0004584080003738995,3.692264878486601e-05,0.00024133245853936089,0.001244609345607874,0.0006454239
1stFlrSF*PoolArea,2.052213363953451,0.15220289315995597,1162350.0,0.03778983378638074,270,542,200,546,62,153,0,5.720313208598169e-07,0.0,1.3887800418583523e-06,0.0,0.0
1stFlrSF*ScreenPorch,31.7416872781912,2.1163069419801362e-08,760320.0,0.14710864204427465,157,346,186,257,70,126,4,3.068059167525926e-05,0.0,9.011824433741354e-05,0.0,0.0004985944
1stFlrSF*TotalBsmtSF,956.4094635975987,2.393457514539486e-161,10329600.0,0.6324045131467729,42,56,199,55,82,130,17,0.0012088974329135741,1.707994596152288e-05,0.0009002405260359015,0.0,0.0006723332
1stFlrSF*WoodDeckSF,322.8375847404337,2.8780040235033877e-65,1196376.0,0.42855115683323,46,135,131,166,73,87,12,0.00036215787188626766,0.00014881686512708514,0.0003154911958978912,0.0,0.0007649704
1stFlrSF^2,751.5829788142992,2.060242510708652e-133,10308428.0,0.5862805498351786,290,31,50,145,63,197,0,0.0010789663776777966,0.00028880687817194707,0.0006185945434197093,0.004186781345732898,0.0
2ndFlrSF,150.09483058176482,6.823978651199466e-33,1818.0,0.307719659117065,32,119,40,121,87,67,15,0.0005244249956628678,0.000605811209267554,0.0012172529877790648,0.0,0.0012790731
2ndFlrSF*3SsnPorch,2.4920511863781907,0.11464290564330834,203105.0,0.04163664745744033,259,476,198,481,80,173,0,1.4777076532169835e-08,0.0,2.187786087332699e-06,0.0,0.0
2ndFlrSF*BsmtFinSF1,210.97990045615185,1.0571552387876294e-44,2491052.0,0.35802081572430444,133,80,125,181,76,211,4,0.0008671558667454396,5.7050196252476575e-05,0.0002530466062078645,0.0007112850449350976,0.0
2ndFlrSF*BsmtFinSF2,4.219790232496149,0.04013589879166484,1734898.0,0.05414793141597385,171,307,195,365,90,215,2,3.0865952459038583e-05,0.0,8.918835139314687e-05,0.0,0.0
2ndFlrSF*BsmtUnfSF,127.32669385061477,2.3684113399175705e-28,2672460.0,0.2854787619158575,87,106,111,242,95,101,11,0.0005169450204673594,0.00013284736893328346,0.0003168442670948647,0.0,0.0011394466
2ndFlrSF*EnclosedPorch,0.6608874115629065,0.41638168045658064,509520.0,0.02145545877804887,169,158,182,325,92,222,5,0.00022262686838004354,0.0,0.00013797590827190534,0.0,0.0
2ndFlrSF*GarageArea,324.51563699796037,1.4483000749523078e-65,1581660.0,0.42945854540852113,89,71,52,170,102,226,15,0.0008891304938943573,0.0008779640749983987,0.0011170431597417204,0.0,0.0
2ndFlrSF*GrLivArea,265.3336384382509,7.214042004444808e-55,6514092.0,0.39502909411257087,152,45,207,62,103,229,5,0.0010911688391540815,0.0,0.0013261553423323759,0.0,0.0
2ndFlrSF*LotArea,244.60047250511084,4.965923025187774e-51,85017856.0,0.38161518868504946,60,78,34,119,99,41,12,0.0008189769351341201,0.001979234361931321,0.0004860216299313486,0.0,0.009054638
2ndFlrSF*LotFrontage,233.47901073803015,5.9530480724234026e-49,226896.0,0.37407918942558593,134,55,69,52,112,125,4,0.0009655490790370363,0.0005958336890175724,0.0015967415786313133,0.0,0.0017289453
2ndFlrSF*LowQualFinSF,0.01757404637919574,0.8945543077171352,741600.0,0.0034995102850401932,330,477,233,449,114,186,0,1.3073184440123245e-06,0.0,1.634945455728341e-05,0.0,0.0
2ndFlrSF*MasVnrArea,179.1430998817543,1.3843661447443954e-38,2474888.0,0.33314172141684295,144,171,119,327,107,191,4,0.0001815773103983456,8.020060805978785e-05,0.0001590272550786361,0.0,0.0
2ndFlrSF*OpenPorchSF,130.86104166195395,4.623394455611235e-29,660776.0,0.28908700978744,158,117,219,278,137,143,5,0.00038497223581815057,0.0,0.00017015252646441166,0.0,0.00010606056
2ndFlrSF*PoolArea,2.463108189396699,0.11676841247259721,722448.0,0.04139457140550691,344,522,247,561,132,201,0,0.0,0.0,0.0,0.0,0.0
2ndFlrSF*ScreenPorch,19.615369527243065,1.0188574440511371e-05,612480.0,0.11612458127578545,348,420,238,402,116,203,0,1.892318924614826e-05,0.0,6.625967669253555e-05,0.0,0.0
2ndFlrSF*TotalBsmtSF,306.01747740804575,2.9144303682772082e-62,3466280.0,0.4192485314024647,43,30,25,73,128,110,17,0.0014789383804442603,0.0009657440810163151,0.0014511835662648989,0.0,0.0014125655
2ndFlrSF*WoodDeckSF,158.51076578039496,1.4907932733462408e-34,895440.0,0.3153928772331701,161,150,250,300,129,235,5,0.00026406650711780036,0.0,0.00023111880054535548,0.0,0.0
2ndFlrSF^2,249.32166349526406,6.5739332138650556e-52,3305124.0,0.3847401329117607,278,66,191,84,141,270,0,0.0005766691390132598,6.1927557535789e-05,0.0013161925352058496,0.0,0.0
3SsnPorch,4.309774558422415,0.03807167950244049,508.0,0.05472051034895508,324,444,261,498,147,241,0,2.4365273641486886e-06,0.0,2.2012133462664577e-05,0.0,0.0
3SsnPorch*BsmtFinSF1,7.299165218648442,0.006979920242902734,406144.0,0.07113919082711298,325,472,272,397,150,243,0,9.226718397836377e-07,0.0,7.878336744860034e-06,0.0,0.0
3SsnPorch*BsmtFinSF2,1.1357237512992153,0.2867370088157333,19720.0,0.02812150836693677,354,569,279,548,146,245,0,9.614952303061375e-12,0.0,0.0,0.0,0.0
3SsnPorch*BsmtUnfSF,3.137432419471964,0.07672638657082867,723392.0,0.04670754003401323,361,456,278,465,155,286,0,6.0563701347897486e-06,0.0,1.5951337089971645e-05,0.0,0.0
3SsnPorch*EnclosedPorch,0.04305365971370652,0.8356537077504606,11760.0,0.00547737621467809,364,570,276,551,167,251,0,1.4966308716017246e-09,0.0,6.876056760313148e-10,0.0,0.0
3SsnPorch*GarageArea,5.676067453673314,0.017327465194726388,254000.0,0.06276833419629986,368,423,289,463,156,257,0,1.3660416044038512e-06,0.0,9.002692576265451e-06,0.0,0.0
3SsnPorch*GrLivArea,6.4791913720949,0.01101834062871984,732536.0,0.0670434284583592,393,443,288,471,172,261,0,1.7336697468895184e-05,0.0,2.1763177577031057e-05,0.0,0.0
3SsnPorch*LotArea,4.791657704120428,0.028758543538097685,6026490.0,0.05768900742448767,397,434,268,450,170,302,0,7.900806475795816e-07,0.0,1.780795331954845e-05,0.0,0.0
3SsnPorch*LotFrontage,4.3718170693708815,0.036713546507027295,50292.0,0.05511178699723566,190,332,298,358,174,265,2,1.8160590079965302e-06,0.0,1.5114019932996222e-05,0.0,0.0
3SsnPorch*LowQualFinSF,0.27276496903703656,0.6015636202879084,20160.0,0.013785644497485356,404,664,292,665,182,273,0,1.2622996241799247e-08,0.0,0.0,0.0,0.0
3SsnPorch*MasVnrArea,8.319724246741941,0.0039802334208356984,129504.0,0.07592297068885606,408,500,285,459,184,277,0,1.329855846698045e-06,0.0,1.088783628502049e-05,0.0,0.0
3SsnPorch*OpenPorchSF,8.924595091241011,0.002861312378054,23520.0,0.07861800221499551,412,461,300,445,188,283,0,6.876751849777646e-06,0.0,6.379554490624654e-06,0.0,0.0
3SsnPorch*PoolArea,,,0.0,,416,660,306,661,173,289,0,0.0,0.0,0.0,0.0,0.0
3SsnPorch*ScreenPorch,,,0.0,,420,524,310,567,200,293,0,0.0,0.0,0.0,0.0,0.0
3SsnPorch*TotalBsmtSF,6.431030641051073,0.011319675325862127,723392.0,0.06679490797068272,424,458,314,423,220,297,0,8.24452211669503e-07,0.0,2.9094929404869596e-05,0.0,0.0
3SsnPorch*WoodDeckSF,2.187844817744614,0.13932330914067373,88060.0,0.03901678581522693,374,467,365,495,202,305,0,6.939449140298568e-06,0.0,5.825986312323396e-06,0.0,0.0
3SsnPorch^2,2.342062808384946,0.12614310904661283,258064.0,0.04036632395475942,376,450,320,452,223,314,0,7.890613533294028e-06,0.0,5.379804511072196e-06,0.0,0.0
BedroomAbvGr,64.01899663220033,2.5192843900170226e-15,0.661850129469256,0.2066573534457116,79,98,135,48,205,316,10,0.00046384326027591494,3.349832318220756e-05,0.0015900352868251603,0.0,0.0
BsmtFinSF,217.54697002746732,5.993029180890784e-46,2306.0,0.3628270128998221,28,32,94,85,166,116,24,0.0018575031710726577,0.0006165333117495822,0.0011331173526051713,0.0,0.00044744415
BsmtFinSF1,241.67777740560845,1.7414605103849688e-50,2188.0,0.37965887369352264,103,129,164,117,187,132,15,0.00039405941883304755,0.0,0.0004189273750105161,0.0008145115877206182,0.00019307586
BsmtFinSF1*BsmtFinSF2,4.210147106977647,0.040363981101905234,952413.0,0.05408620740777437,104,204,348,281,216,338,10,0.0001091675817525238,0.0,0.0001443288921079286,0.0,0.0
BsmtFinSF1*BsmtUnfSF,281.6296094699812,7.502225777422097e-58,2423839.0,0.4050427442813978,29,47,355,109,22,86,28,0.0015674037776631984,0.0,0.0006559928603560819,0.003701246262125689,0.0009985624
BsmtFinSF1*EnclosedPorch,0.2879365774186202,0.5916290402304325,358221.0,0.014163771170657365,70,58,96,64,109,70,12,0.00099613334601994,0.0001408224742480736,0.000623651137595058,0.0006281570188007626,0.0018235809
BsmtFinSF1*GarageArea,488.8727125737878,1.8397756018145359e-93,2220064.0,0.5040919139382407,48,16,37,67,10,94,23,0.006868281645807599,0.001282073700931937,0.0008783878282715167,0.012706827717265178,0.0057092053
BsmtFinSF1*GrLivArea,566.2554233468935,8.984637538306098e-106,5172432.0,0.5319305411351195,9,5,4,13,16,15,36,0.011332677545818886,0.021005567266524357,0.0028640062962855873,0.01264580383579547,0.015224324
BsmtFinSF1*LotArea,286.6267512734555,9.252398628654094e-59,75761664.0,0.40802695986578225,41,20,35,51,229,33,27,0.0029554820050835358,0.002075740811008089,0.0007559307263670303,0.0028613276639183794,0.0028665678
BsmtFinSF1*LotFrontage,313.33486101067814,1.4238008288669758e-63,236600.0,0.42334267483518123,59,38,118,137,247,46,15,0.001752823560194593,0.00022377556775332114,0.000598327979270351,0.0003493562074763653,0.004322176
BsmtFinSF1*LowQualFinSF,0.9252748702281408,0.3362558193519276,207631.0,0.025384549690608438,462,433,361,507,258,362,0,5.2398950305131076e-06,0.0,2.4471551072198643e-05,0.0,0.0
BsmtFinSF1*MasVnrArea,273.9256488183111,1.9132888802931217e-56,2096200.0,0.4003637657329234,120,109,227,225,270,346,11,0.00042449805166770347,0.0,0.00032182286746420234,0.0,0.0
BsmtFinSF1*OpenPorchSF,228.14474344054537,5.982015949393084e-48,459507.0,0.37037375932083205,61,62,28,193,280,23,16,0.001232567925413164,0.0017250729811391285,0.0003387222978374585,0.0,0.0042636646
BsmtFinSF1*PoolArea,0.671975719003551,0.4124997579348264,429624.0,0.021634615384116356,470,437,393,521,277,377,0,1.34491705879047e-08,0.0,5.929357463037971e-07,0.0,0.0
BsmtFinSF1*ScreenPorch,30.830652683732566,3.3498380548327535e-08,601128.0,0.14502719918711893,130,267,145,364,272,378,4,2.8642055961083282e-05,4.4683955597156064e-05,4.771068253668279e-05,0.0,0.0
BsmtFinSF1*TotalBsmtSF,421.10728442487147,2.9043726901222443e-82,5467098.0,0.4763156372209535,86,53,399,98,269,140,8,0.0009493634731874184,0.0,0.0011417515081797694,0.0010182780015390764,0.0011659614
BsmtFinSF1*WoodDeckSF,203.92253616286396,2.341268843241145e-43,712248.0,0.35273893419019625,71,122,404,213,316,108,9,0.0004001599782537961,6.00573259789599e-06,0.000308391528598717,0.0,0.002043094
BsmtFinSF1^2,349.1278495060729,6.59978098577775e-70,4787344.0,0.44236347442829993,518,72,411,153,300,393,0,0.000740861438216186,1.935231566777273e-06,0.0004474706403986413,0.0,0.0
BsmtFinSF2,0.0028484342826922745,0.9574439587095909,1474.0,0.0014088888123130398,184,333,419,383,282,399,2,7.75422475830301e-05,9.50087853232835e-06,8.560303686409476e-05,0.0,0.0
BsmtFinSF2*BsmtUnfSF,2.8974955444085255,0.08893388001697344,858389.0,0.0448897746030229,491,254,165,377,299,401,0,6.405705278421836e-05,0.0,7.831023311787045e-05,0.0,0.0
BsmtFinSF2*EnclosedPorch,0.4039614368882427,0.5251518047301502,173880.0,0.016775786251091666,197,153,422,182,296,405,3,0.00028041397377780354,0.0,0.0003669929553255152,0.0,0.0
BsmtFinSF2*GarageArea,2.483432192330698,0.11527136103833877,849024.0,0.04156470756522698,187,236,420,352,301,409,2,6.47146225862433e-05,7.42038418618162e-05,5.399186274301729e-05,0.0,0.0
BsmtFinSF2*GrLivArea,4.0100248188005825,0.04541833917048784,4024020.0,0.05278877944171023,188,189,427,294,314,413,2,9.240735142896224e-05,3.7220622840296393e-05,0.00012139388533035179,0.0,0.0
BsmtFinSF2*LotArea,2.812242351230116,0.09376532759437858,41567552.0,0.04422575783725865,511,325,431,388,318,417,0,4.217927545282731e-05,0.0,0.00011163052007999448,0.0,0.0
BsmtFinSF2*LotFrontage,0.41646727588982446,0.5188082552249798,126764.0,0.017033405247715933,156,344,147,311,328,421,1,1.6263643279273782e-05,8.471753691481832e-05,9.873981148368457e-05,0.0,0.0
BsmtFinSF2*LowQualFinSF,0.027962966507091676,0.8672194781784577,269880.0,0.004414295877930013,524,551,441,532,331,425,0,6.073246069923779e-09,0.0,3.2035367060788912e-09,0.0,0.0
BsmtFinSF2*MasVnrArea,5.3495808301262375,0.020868097828012737,275310.0,0.06094329364022518,528,388,447,416,338,429,0,2.0993795553379992e-05,0.0,2.8431233338975582e-05,0.0,0.0
BsmtFinSF2*OpenPorchSF,2.879134503351667,0.08995110410200179,453530.0,0.04474760401931435,532,358,79,380,329,106,0,2.821300272094126e-05,0.0001824093904287472,3.880733716039479e-05,0.0,0.00040999078
BsmtFinSF2*PoolArea,0.7958065074247762,0.3724996795500698,244296.0,0.023542761486549327,535,578,488,537,327,366,0,0.0,0.0,1.714255653838257e-10,0.0,0.0
BsmtFinSF2*ScreenPorch,3.224194256380346,0.072767817115763,338520.0,0.04734752748607513,536,487,456,502,365,441,0,2.9935322590319976e-06,0.0,8.404506729595433e-06,0.0,0.0
BsmtFinSF2*TotalBsmtSF,3.6605917540124677,0.05591265454704224,2213948.0,0.05044248515016959,544,359,458,345,339,442,0,3.352731019687656e-05,0.0,4.2045821563224056e-05,0.0,0.0
BsmtFinSF2*WoodDeckSF,0.41498315958365634,0.5195539755464182,441720.0,0.017003036961707074,141,289,54,355,342,99,4,2.3501113477496552e-05,0.0004698803961489297,5.454754860712715e-05,0.0,0.00075643434
